episode : 145 | score_avg : -133.34411611711735 | loss : -0.07991574704647064 | sigma : 50.0 | done : False
episode : 146 | score_avg : -138.1597045054056 | loss : 0.6416522860527039 | sigma : 50.0 | done : False
episode : 147 | score_avg : -144.44373405486505 | loss : -0.08060242980718613 | sigma : 50.0 | done : False
episode : 148 | score_avg : -149.49936064937856 | loss : -0.023281030356884003 | sigma : 50.0 | done : False
episode : 149 | score_avg : -152.09942458444073 | loss : 0.12961015105247498 | sigma : 50.0 | done : False
episode : 150 | score_avg : -156.98948212599666 | loss : -0.060316357761621475 | sigma : 50.0 | done : False
episode : 151 | score_avg : -161.39053391339698 | loss : -0.06102816388010979 | sigma : 50.0 | done : False
episode : 152 | score_avg : -152.75148052205728 | loss : 0.8741848468780518 | sigma : 50.0 | done : False
episode : 153 | score_avg : -157.57633246985154 | loss : -0.11449677497148514 | sigma : 50.0 | done : False
episode : 154 | score_avg : -160.5186992228664 | loss : 0.07916981726884842 | sigma : 50.0 | done : False
episode : 155 | score_avg : -164.56682930057974 | loss : -0.058961834758520126 | sigma : 50.0 | done : False
episode : 156 | score_avg : -163.41014637052177 | loss : 0.29373499751091003 | sigma : 50.0 | done : False
episode : 157 | score_avg : -145.8691317334696 | loss : 2278.188232421875 | sigma : 50.0 | done : True
episode : 158 | score_avg : -151.38221856012265 | loss : -0.05893680825829506 | sigma : 50.0 | done : False
episode : 159 | score_avg : -156.3439967041104 | loss : -0.05913393944501877 | sigma : 50.0 | done : False
episode : 160 | score_avg : -160.80959703369936 | loss : -0.059262245893478394 | sigma : 50.0 | done : False
episode : 161 | score_avg : -164.52863733032945 | loss : -0.16434943675994873 | sigma : 50.0 | done : False
episode : 162 | score_avg : -167.72577359729652 | loss : -0.02605358697474003 | sigma : 50.0 | done : False
episode : 163 | score_avg : -149.3531962375669 | loss : 589.1328735351562 | sigma : 50.0 | done : True
episode : 164 | score_avg : -132.61787661381018 | loss : 271.68212890625 | sigma : 50.0 | done : True
episode : 165 | score_avg : -139.45608895242916 | loss : -0.24081310629844666 | sigma : 50.0 | done : False
episode : 166 | score_avg : -145.61048005718624 | loss : -0.30260327458381653 | sigma : 50.0 | done : False
episode : 167 | score_avg : -151.1494320514676 | loss : -0.3698943853378296 | sigma : 50.0 | done : False
episode : 168 | score_avg : -156.13448884632086 | loss : -0.046897243708372116 | sigma : 50.0 | done : False
episode : 169 | score_avg : -148.1710399616888 | loss : 0.8152036666870117 | sigma : 50.0 | done : False
episode : 170 | score_avg : -132.00393596551993 | loss : 1040.1766357421875 | sigma : 50.0 | done : True
episode : 171 | score_avg : -138.90354236896795 | loss : -0.05890020355582237 | sigma : 50.0 | done : False
episode : 172 | score_avg : -143.76318813207115 | loss : 0.04178228601813316 | sigma : 50.0 | done : False
episode : 173 | score_avg : -131.13686931886403 | loss : 1.278261661529541 | sigma : 50.0 | done : False
episode : 174 | score_avg : -138.12318238697762 | loss : -0.452405720949173 | sigma : 50.0 | done : False
episode : 175 | score_avg : -143.81086414827985 | loss : -0.5167933106422424 | sigma : 50.0 | done : False
episode : 176 | score_avg : -149.52977773345185 | loss : -0.6786441802978516 | sigma : 50.0 | done : False
episode : 177 | score_avg : -154.67679996010668 | loss : -0.8034746646881104 | sigma : 50.0 | done : False
episode : 178 | score_avg : -159.309119964096 | loss : -0.9378464221954346 | sigma : 50.0 | done : False
episode : 179 | score_avg : -162.7282079676864 | loss : -1.0085448026657104 | sigma : 50.0 | done : False
episode : 180 | score_avg : -164.60538717091777 | loss : 0.07720638066530228 | sigma : 50.0 | done : False
episode : 181 | score_avg : -168.244848453826 | loss : -0.05950105935335159 | sigma : 50.0 | done : False
episode : 182 | score_avg : -171.5203636084434 | loss : -0.05980055034160614 | sigma : 50.0 | done : False
episode : 183 | score_avg : -172.36832724759907 | loss : 0.0961594432592392 | sigma : 50.0 | done : False
episode : 184 | score_avg : -172.83149452283917 | loss : 0.11809711903333664 | sigma : 50.0 | done : False
episode : 185 | score_avg : -174.74834507055527 | loss : 0.007254669442772865 | sigma : 50.0 | done : False
episode : 186 | score_avg : -177.37351056349974 | loss : -0.059863682836294174 | sigma : 50.0 | done : False
episode : 187 | score_avg : -179.73615950714975 | loss : -0.060015663504600525 | sigma : 50.0 | done : False
episode : 188 | score_avg : -177.96254355643478 | loss : 0.2268817126750946 | sigma : 50.0 | done : False
episode : 189 | score_avg : -179.5162892007913 | loss : -1.2098209857940674 | sigma : 50.0 | done : False
episode : 190 | score_avg : -180.4646602807122 | loss : -1.290712833404541 | sigma : 50.0 | done : False
episode : 191 | score_avg : -182.51819425264097 | loss : -0.06041576713323593 | sigma : 50.0 | done : False
episode : 192 | score_avg : -184.36637482737686 | loss : -0.060772854834795 | sigma : 50.0 | done : False
episode : 193 | score_avg : -186.02973734463916 | loss : -1.6548504829406738 | sigma : 50.0 | done : False
episode : 194 | score_avg : -186.47676361017525 | loss : -1.6093862056732178 | sigma : 50.0 | done : False
episode : 195 | score_avg : -187.62908724915775 | loss : -1.8969228267669678 | sigma : 50.0 | done : False
episode : 196 | score_avg : -188.816178524242 | loss : -2.1623778343200684 | sigma : 50.0 | done : False
episode : 197 | score_avg : -189.5845606718178 | loss : -0.023932021111249924 | sigma : 50.0 | done : False
episode : 198 | score_avg : -189.97610460463602 | loss : -2.3919010162353516 | sigma : 50.0 | done : False
episode : 199 | score_avg : -189.67849414417242 | loss : -2.536539077758789 | sigma : 50.0 | done : False
episode : 200 | score_avg : -169.4606447297552 | loss : 2336.747802734375 | sigma : 50.0 | done : True
episode : 201 | score_avg : -172.61458025677967 | loss : -3.0556299686431885 | sigma : 50.0 | done : False
episode : 202 | score_avg : -154.15312223110172 | loss : 494.7590026855469 | sigma : 50.0 | done : True
episode : 203 | score_avg : -158.53781000799157 | loss : -3.371778726577759 | sigma : 50.0 | done : False
episode : 204 | score_avg : -141.1840290071924 | loss : 692.711669921875 | sigma : 50.0 | done : True
episode : 205 | score_avg : -145.76562610647318 | loss : -3.6291189193725586 | sigma : 50.0 | done : False
episode : 206 | score_avg : -151.28906349582587 | loss : -4.12470817565918 | sigma : 50.0 | done : False
episode : 207 | score_avg : -156.26015714624327 | loss : -4.530198574066162 | sigma : 50.0 | done : False
episode : 208 | score_avg : -139.63414143161896 | loss : 17576.84375 | sigma : 50.0 | done : True
episode : 209 | score_avg : -145.77072728845707 | loss : -4.958861351013184 | sigma : 50.0 | done : False
episode : 210 | score_avg : -129.69365455961136 | loss : 1253.0123291015625 | sigma : 50.0 | done : True
episode : 211 | score_avg : -136.82428910365022 | loss : -5.413755416870117 | sigma : 50.0 | done : False
episode : 212 | score_avg : -122.1918601932852 | loss : 1193.9212646484375 | sigma : 50.0 | done : True
episode : 213 | score_avg : -108.37267417395668 | loss : 1596.5128173828125 | sigma : 50.0 | done : True
episode : 214 | score_avg : -117.63540675656103 | loss : -5.881434917449951 | sigma : 50.0 | done : False
episode : 215 | score_avg : -125.22186608090493 | loss : -6.325865745544434 | sigma : 50.0 | done : False
episode : 216 | score_avg : -132.79967947281443 | loss : 0.5425662994384766 | sigma : 50.0 | done : False
episode : 217 | score_avg : -139.619711525533 | loss : -6.737401962280273 | sigma : 50.0 | done : False
episode : 218 | score_avg : -145.7577403729797 | loss : -7.04539680480957 | sigma : 50.0 | done : False
episode : 219 | score_avg : -151.28196633568172 | loss : 0.610738217830658 | sigma : 50.0 | done : False
episode : 220 | score_avg : -155.50376970211354 | loss : -7.2918243408203125 | sigma : 50.0 | done : False
episode : 221 | score_avg : -158.8533927319022 | loss : -7.604520320892334 | sigma : 50.0 | done : False
episode : 222 | score_avg : -162.61805345871198 | loss : -8.137208938598633 | sigma : 50.0 | done : False
episode : 223 | score_avg : -166.0062481128408 | loss : -8.66061019897461 | sigma : 50.0 | done : False
episode : 224 | score_avg : -163.30562330155675 | loss : 2.1338295936584473 | sigma : 50.0 | done : False
episode : 225 | score_avg : -165.8750609714011 | loss : 0.75914466381073 | sigma : 50.0 | done : False
episode : 226 | score_avg : -167.587554874261 | loss : 0.3844574987888336 | sigma : 50.0 | done : False
episode : 227 | score_avg : -170.02879938683492 | loss : 0.12910766899585724 | sigma : 50.0 | done : False
episode : 228 | score_avg : -173.12591944815142 | loss : -8.441933631896973 | sigma : 50.0 | done : False
episode : 229 | score_avg : -175.9133275033363 | loss : -9.042820930480957 | sigma : 50.0 | done : False
episode : 230 | score_avg : -174.07199475300266 | loss : 1.050903558731079 | sigma : 50.0 | done : False
episode : 231 | score_avg : -167.4647952777024 | loss : 0.9383880496025085 | sigma : 50.0 | done : False
episode : 232 | score_avg : -170.36831574993215 | loss : -8.92014217376709 | sigma : 50.0 | done : False
episode : 233 | score_avg : -166.48148417493894 | loss : 0.9614763259887695 | sigma : 50.0 | done : False
episode : 234 | score_avg : -169.93333575744504 | loss : -9.26549243927002 | sigma : 50.0 | done : False
episode : 235 | score_avg : -173.04000218170054 | loss : -9.796460151672363 | sigma : 50.0 | done : False
episode : 236 | score_avg : -154.3360019635305 | loss : 5037.31396484375 | sigma : 50.0 | done : True
