episode : 209 | score_avg : -300.51550295333743 | loss : 0.21410726010799408 | done : False
episode : 210 | score_avg : -295.5139526580037 | loss : -0.0074243322014808655 | done : False
episode : 211 | score_avg : -291.01255739220335 | loss : 0.0008109355694614351 | done : False
episode : 212 | score_avg : -286.961301652983 | loss : -0.013186894357204437 | done : False
episode : 213 | score_avg : -287.11517148768473 | loss : 0.010100897401571274 | done : False
episode : 214 | score_avg : -305.0036543389163 | loss : -0.0031992874573916197 | done : False
episode : 215 | score_avg : -334.6032889050247 | loss : 9.951805114746094 | done : False
episode : 216 | score_avg : -340.59296001452225 | loss : -0.002252589212730527 | done : False
episode : 217 | score_avg : -337.58366401307006 | loss : 0.8591176271438599 | done : False
episode : 218 | score_avg : -363.9252976117631 | loss : 10.10592269897461 | done : False
episode : 219 | score_avg : -352.5827678505868 | loss : 0.4624922275543213 | done : False
episode : 220 | score_avg : -377.4244910655281 | loss : 9.883173942565918 | done : False
episode : 221 | score_avg : -364.73204195897534 | loss : 0.0505649708211422 | done : False
episode : 222 | score_avg : -375.4088377630778 | loss : 0.6922999620437622 | done : False
episode : 223 | score_avg : -397.96795398677006 | loss : 10.06564712524414 | done : False
episode : 224 | score_avg : -384.0211585880931 | loss : 0.406510591506958 | done : False
episode : 225 | score_avg : -405.71904272928384 | loss : 10.04169750213623 | done : False
episode : 226 | score_avg : -414.54713845635547 | loss : 0.01305608544498682 | done : False
episode : 227 | score_avg : -433.19242461071997 | loss : 10.024312973022461 | done : False
episode : 228 | score_avg : -419.92318214964797 | loss : 1.3343993425369263 | done : False
episode : 229 | score_avg : -438.0308639346832 | loss : 10.017431259155273 | done : False
episode : 230 | score_avg : -433.3277775412149 | loss : 0.2779794931411743 | done : False
episode : 231 | score_avg : -450.09499978709346 | loss : 10.753854751586914 | done : False
episode : 232 | score_avg : -432.7854998083841 | loss : 2.661194086074829 | done : False
episode : 233 | score_avg : -435.40694982754565 | loss : 0.3516719341278076 | done : False
episode : 234 | score_avg : -439.1662548447911 | loss : 0.18943360447883606 | done : False
episode : 235 | score_avg : -442.899629360312 | loss : 0.03855161741375923 | done : False
episode : 236 | score_avg : -408.65966642428083 | loss : 2.631011962890625 | done : False
episode : 237 | score_avg : -392.94369978185273 | loss : 0.11429785937070847 | done : False
episode : 238 | score_avg : -379.4993298036675 | loss : 0.3645837604999542 | done : False
episode : 239 | score_avg : -367.09939682330076 | loss : 0.039863310754299164 | done : False
episode : 240 | score_avg : -356.7894571409707 | loss : 0.18698731064796448 | done : False
episode : 241 | score_avg : -347.61051142687364 | loss : 0.08647924661636353 | done : False
episode : 242 | score_avg : -337.5994602841863 | loss : 1.2369351387023926 | done : False
episode : 243 | score_avg : -328.9895142557677 | loss : -0.026177790015935898 | done : False
episode : 244 | score_avg : -321.14056283019096 | loss : 0.1582736372947693 | done : False
episode : 245 | score_avg : -314.0765065471719 | loss : 0.002495745662599802 | done : False
episode : 246 | score_avg : -307.7188558924547 | loss : 0.038829535245895386 | done : False
episode : 247 | score_avg : -302.64697030320923 | loss : 0.04507024586200714 | done : False
episode : 248 | score_avg : -297.4322732728883 | loss : -0.03249610215425491 | done : False
episode : 249 | score_avg : -292.8390459455995 | loss : -0.008638538420200348 | done : False
episode : 250 | score_avg : -289.90514135103956 | loss : -0.008357571437954903 | done : False
episode : 251 | score_avg : -288.0646272159356 | loss : 0.0004117132048122585 | done : False
episode : 252 | score_avg : -286.50816449434205 | loss : -0.006050231866538525 | done : False
episode : 253 | score_avg : -283.70734804490786 | loss : -0.0027549746446311474 | done : False
episode : 254 | score_avg : -280.3866132404171 | loss : -0.0357348658144474 | done : False
episode : 255 | score_avg : -278.0479519163754 | loss : -0.014961629174649715 | done : False
episode : 256 | score_avg : -275.29315672473786 | loss : -0.03823264688253403 | done : False
episode : 257 | score_avg : -272.8138410522641 | loss : -0.004215358290821314 | done : False
episode : 258 | score_avg : -270.6824569470377 | loss : 0.007805315311998129 | done : False
episode : 259 | score_avg : -268.6642112523339 | loss : -0.013649370521306992 | done : False
episode : 260 | score_avg : -266.84779012710055 | loss : -0.023680509999394417 | done : False
episode : 261 | score_avg : -270.36301111439053 | loss : 0.019445179030299187 | done : False
episode : 262 | score_avg : -269.4267100029515 | loss : -0.015899812802672386 | done : False
episode : 263 | score_avg : -268.43403900265633 | loss : -0.01824515126645565 | done : False
episode : 264 | score_avg : -268.2406351023907 | loss : -0.020280858501791954 | done : False
episode : 265 | score_avg : -267.8165715921516 | loss : -0.03580808639526367 | done : False
episode : 266 | score_avg : -267.4849144329365 | loss : -0.012883709743618965 | done : False
episode : 267 | score_avg : -268.6364229896428 | loss : 0.002112947404384613 | done : False
episode : 268 | score_avg : -267.17278069067856 | loss : 0.004128461237996817 | done : False
episode : 269 | score_avg : -267.2055026216107 | loss : -0.026708142831921577 | done : False
episode : 270 | score_avg : -300.5849523594497 | loss : 10.047698974609375 | done : False
episode : 271 | score_avg : -295.5764571235047 | loss : 0.038814835250377655 | done : False
episode : 272 | score_avg : -291.96881141115426 | loss : 0.013611268252134323 | done : False
episode : 273 | score_avg : -287.8219302700389 | loss : -0.033487726002931595 | done : False
episode : 274 | score_avg : -284.089737243035 | loss : -0.034964390099048615 | done : False
episode : 275 | score_avg : -280.7307635187315 | loss : -0.015399834141135216 | done : False
episode : 276 | score_avg : -278.2576871668584 | loss : 0.012510319240391254 | done : False
