episode : 152 | score_avg : 11.284023020508052 | loss : 6.66605281829834 | done : True
episode : 153 | score_avg : 11.405620718457246 | loss : 10.609482765197754 | done : True
episode : 154 | score_avg : 11.565058646611522 | loss : 4.556696891784668 | done : True
episode : 155 | score_avg : 11.40855278195037 | loss : 52.06666564941406 | done : True
episode : 156 | score_avg : 11.067697503755333 | loss : 3.362509250640869 | done : True
episode : 157 | score_avg : 11.260927753379802 | loss : 8.876362800598145 | done : True
episode : 158 | score_avg : 10.784834978041822 | loss : 2.8097023963928223 | done : True
episode : 159 | score_avg : 11.00635148023764 | loss : 8.494507789611816 | done : True
episode : 160 | score_avg : 10.805716332213876 | loss : 3.1091179847717285 | done : True
episode : 161 | score_avg : 10.975144698992489 | loss : 13.214377403259277 | done : True
episode : 162 | score_avg : 10.77763022909324 | loss : 3.10910701751709 | done : True
episode : 163 | score_avg : 11.199867206183917 | loss : 5.373144149780273 | done : True
episode : 164 | score_avg : 11.379880485565527 | loss : 8.49445915222168 | done : True
episode : 165 | score_avg : 11.341892437008974 | loss : 25.434738159179688 | done : True
episode : 166 | score_avg : 11.507703193308078 | loss : 10.381256103515625 | done : True
episode : 167 | score_avg : 11.80693287397727 | loss : 6.510273456573486 | done : True
episode : 168 | score_avg : 11.626239586579544 | loss : 51.93417739868164 | done : True
episode : 169 | score_avg : 11.91361562792159 | loss : 6.655448913574219 | done : True
episode : 170 | score_avg : 12.022254065129433 | loss : 4.547854900360107 | done : True
episode : 171 | score_avg : 11.97002865861649 | loss : 17.482141494750977 | done : True
episode : 172 | score_avg : 12.023025792754842 | loss : 10.625656127929688 | done : True
episode : 173 | score_avg : 12.070723213479358 | loss : 10.136482238769531 | done : True
episode : 174 | score_avg : 11.763650892131423 | loss : 3.10904598236084 | done : True
episode : 175 | score_avg : 11.43728580291828 | loss : 3.0661728382110596 | done : True
episode : 176 | score_avg : 11.493557222626453 | loss : 4.056469440460205 | done : True
episode : 177 | score_avg : 11.594201500363809 | loss : 10.12307071685791 | done : True
episode : 178 | score_avg : 11.784781350327428 | loss : 7.285861492156982 | done : True
episode : 179 | score_avg : 12.106303215294686 | loss : 4.521085262298584 | done : True
episode : 180 | score_avg : 12.245672893765217 | loss : 7.5668511390686035 | done : True
episode : 181 | score_avg : 12.021105604388696 | loss : 52.207183837890625 | done : True
episode : 182 | score_avg : 11.968995043949826 | loss : 16.986658096313477 | done : True
episode : 183 | score_avg : 12.172095539554844 | loss : 6.413700580596924 | done : True
episode : 184 | score_avg : 12.15488598559936 | loss : 4.247591972351074 | done : True
episode : 185 | score_avg : 11.989397387039425 | loss : 3.402492046356201 | done : True
episode : 186 | score_avg : 12.340457648335484 | loss : 4.6981048583984375 | done : True
episode : 187 | score_avg : 12.456411883501936 | loss : 7.2858171463012695 | done : True
episode : 188 | score_avg : 12.410770695151744 | loss : 4.056445121765137 | done : True
episode : 189 | score_avg : 12.06969362563657 | loss : 3.5415725708007812 | done : True
episode : 190 | score_avg : 12.062724263072912 | loss : 13.249445915222168 | done : True
episode : 191 | score_avg : 11.756451836765622 | loss : 3.3898963928222656 | done : True
episode : 192 | score_avg : 12.030806653089062 | loss : 5.939400672912598 | done : True
episode : 193 | score_avg : 11.727725987780156 | loss : 3.109025239944458 | done : True
episode : 194 | score_avg : 11.45495338900214 | loss : 3.1194334030151367 | done : True
episode : 195 | score_avg : 11.509458050101927 | loss : 12.640440940856934 | done : True
episode : 196 | score_avg : 11.558512245091734 | loss : 17.53049087524414 | done : True
episode : 197 | score_avg : 11.252661020582561 | loss : 3.16909122467041 | done : True
episode : 198 | score_avg : 11.227394918524306 | loss : 25.09994125366211 | done : True
episode : 199 | score_avg : 11.554655426671875 | loss : 5.913739204406738 | done : True
episode : 200 | score_avg : 11.899189884004688 | loss : 5.1226701736450195 | done : True
episode : 201 | score_avg : 11.60927089560422 | loss : 3.398801803588867 | done : True
episode : 202 | score_avg : 11.598343806043799 | loss : 3.595865488052368 | done : True
episode : 203 | score_avg : 11.438509425439419 | loss : 50.04773712158203 | done : True
episode : 204 | score_avg : 11.744658482895478 | loss : 5.678136825561523 | done : True
episode : 205 | score_avg : 12.070192634605931 | loss : 5.1226582527160645 | done : True
