episode : 34 | score_avg : 210.34526961572686 | loss : -0.010219377465546131 | done : False
episode : 35 | score_avg : 210.01074265415417 | loss : 0.5254119038581848 | done : False
episode : 36 | score_avg : 213.75966838873876 | loss : -0.00885639525949955 | done : False
episode : 37 | score_avg : 215.4837015498649 | loss : 0.3478926122188568 | done : False
episode : 38 | score_avg : 211.7853313948784 | loss : 0.13540861010551453 | done : False
episode : 39 | score_avg : 214.30679825539056 | loss : 0.010733562521636486 | done : False
episode : 40 | score_avg : 217.02611842985152 | loss : -0.027361109852790833 | done : False
episode : 41 | score_avg : 214.8235065868664 | loss : 0.30490556359291077 | done : False
episode : 42 | score_avg : 216.74115592817975 | loss : -0.009712948463857174 | done : False
episode : 43 | score_avg : 217.8670403353618 | loss : -0.004137882497161627 | done : False
episode : 44 | score_avg : 219.3303363018256 | loss : 0.006040325853973627 | done : False
episode : 45 | score_avg : 221.69730267164306 | loss : -0.03154435753822327 | done : False
episode : 46 | score_avg : 224.57757240447876 | loss : -0.016144538298249245 | done : False
episode : 47 | score_avg : 185.31981516403087 | loss : 1.1153275966644287 | done : False
episode : 48 | score_avg : 187.1878336476278 | loss : 0.2034081071615219 | done : False
episode : 49 | score_avg : 193.51905028286504 | loss : -0.003042233409360051 | done : False
episode : 50 | score_avg : 199.21714525457855 | loss : -0.007754040881991386 | done : False
episode : 51 | score_avg : 199.84543072912072 | loss : 0.049697380512952805 | done : False
episode : 52 | score_avg : 203.41088765620867 | loss : 0.0029355832375586033 | done : False
episode : 53 | score_avg : 208.11979889058782 | loss : -0.03272050991654396 | done : False
episode : 54 | score_avg : 209.80781900152903 | loss : 0.058572765439748764 | done : False
episode : 55 | score_avg : 202.92703710137613 | loss : 0.28560855984687805 | done : False
episode : 56 | score_avg : 207.68433339123854 | loss : -0.01755121909081936 | done : False
episode : 57 | score_avg : 209.7159000521147 | loss : 0.025365758687257767 | done : False
episode : 58 | score_avg : 212.59431004690325 | loss : 0.0031248575542122126 | done : False
episode : 59 | score_avg : 216.38487904221293 | loss : 0.00015188405814114958 | done : False
episode : 60 | score_avg : 219.79639113799166 | loss : -0.0036560525186359882 | done : False
episode : 61 | score_avg : 222.86675202419252 | loss : -0.010857454501092434 | done : False
episode : 62 | score_avg : 140.48007682177328 | loss : 10.509466171264648 | done : False
episode : 63 | score_avg : 151.48206913959595 | loss : 0.10718141496181488 | done : False
episode : 64 | score_avg : 161.38386222563636 | loss : -0.014102357439696789 | done : False
episode : 65 | score_avg : 85.14547600307273 | loss : 10.234421730041504 | done : False
episode : 66 | score_avg : 89.23092840276547 | loss : 0.2940353453159332 | done : False
episode : 67 | score_avg : 20.20783556248893 | loss : 10.572306632995605 | done : False
episode : 68 | score_avg : 43.237052006240035 | loss : 0.4899566173553467 | done : False
episode : 69 | score_avg : 45.66334680561603 | loss : 0.20206783711910248 | done : False
episode : 70 | score_avg : 66.14701212505443 | loss : 0.0072469948790967464 | done : False
episode : 71 | score_avg : 84.58231091254899 | loss : -0.008096308447420597 | done : False
episode : 72 | score_avg : 65.47407982129408 | loss : 0.528633177280426 | done : False
episode : 73 | score_avg : 64.02667183916468 | loss : 4.024148941040039 | done : False
episode : 74 | score_avg : -2.4759953447517873 | loss : 10.378242492675781 | done : False
episode : 75 | score_avg : 9.321604189723391 | loss : 0.4898861348628998 | done : False
episode : 76 | score_avg : 32.08944377075105 | loss : 0.33623841404914856 | done : False
episode : 77 | score_avg : 53.930499393675944 | loss : -0.04078085720539093 | done : False
episode : 78 | score_avg : 71.93744945430835 | loss : 1.0072165727615356 | done : False
episode : 79 | score_avg : 82.44370450887752 | loss : 0.08898515999317169 | done : False
episode : 80 | score_avg : 96.69933405798977 | loss : 0.8029230833053589 | done : False
episode : 81 | score_avg : 112.0794006521908 | loss : 0.004274738486856222 | done : False
episode : 82 | score_avg : 123.97146058697172 | loss : 0.0068992730230093 | done : False
episode : 83 | score_avg : 135.12431452827454 | loss : -0.007889707572758198 | done : False
episode : 84 | score_avg : 145.9118830754471 | loss : -0.016916217282414436 | done : False
episode : 85 | score_avg : 153.5206947679024 | loss : 0.011047620326280594 | done : False
episode : 86 | score_avg : 78.06862529111217 | loss : 10.173807144165039 | done : False
episode : 87 | score_avg : 24.21176276200095 | loss : 0.055380333214998245 | done : False
episode : 88 | score_avg : -38.30941351419914 | loss : 9.95471477508545 | done : False
episode : 89 | score_avg : -67.02847216277922 | loss : 0.5402241349220276 | done : False
episode : 90 | score_avg : -120.4256249465013 | loss : 9.97456169128418 | done : False
episode : 91 | score_avg : -155.48306245185117 | loss : 0.06803754717111588 | done : False
episode : 92 | score_avg : -176.53475620666606 | loss : 0.40886810421943665 | done : False
episode : 93 | score_avg : -133.83128058599945 | loss : 0.4876002371311188 | done : False
episode : 94 | score_avg : -167.24815252739953 | loss : 0.030818229541182518 | done : False
