episode : 164 | score_avg : -273.9174341505301 | loss : 0.03198293223977089 | done : False
episode : 165 | score_avg : -279.12569073547706 | loss : 0.01846209168434143 | done : False
episode : 166 | score_avg : -276.26312166192935 | loss : 0.011635685339570045 | done : False
episode : 167 | score_avg : -273.88680949573643 | loss : 0.017949441447854042 | done : False
episode : 168 | score_avg : -273.7981285461628 | loss : 0.06015779823064804 | done : False
episode : 169 | score_avg : -273.51831569154655 | loss : 0.07216164469718933 | done : False
episode : 170 | score_avg : -271.9164841223919 | loss : 0.006838158238679171 | done : False
episode : 171 | score_avg : -269.77483571015273 | loss : 0.0007910145213827491 | done : False
episode : 172 | score_avg : -273.4973521391375 | loss : 0.005248917732387781 | done : False
episode : 173 | score_avg : -272.2476169252238 | loss : 0.007399273570626974 | done : False
episode : 174 | score_avg : -271.4228552327014 | loss : 0.005517097190022469 | done : False
episode : 175 | score_avg : -269.33056970943124 | loss : 0.0016307784244418144 | done : False
episode : 176 | score_avg : -269.3975127384881 | loss : 0.002522400114685297 | done : False
episode : 177 | score_avg : -269.2577614646393 | loss : -0.00554992537945509 | done : False
episode : 178 | score_avg : -288.73198531817536 | loss : 0.03699648380279541 | done : False
episode : 179 | score_avg : -285.1087867863578 | loss : -0.0006324119167402387 | done : False
episode : 180 | score_avg : -282.64790810772206 | loss : -0.012324550189077854 | done : False
episode : 181 | score_avg : -279.83311729694987 | loss : -0.002954301191493869 | done : False
episode : 182 | score_avg : -277.8998055672549 | loss : 0.0038980066310614347 | done : False
episode : 183 | score_avg : -275.2098250105294 | loss : 0.014895160682499409 | done : False
episode : 184 | score_avg : -272.73884250947646 | loss : -0.00839163176715374 | done : False
episode : 185 | score_avg : -270.5149582585288 | loss : -0.0037033723201602697 | done : False
episode : 186 | score_avg : -268.5134624326759 | loss : -0.01210688054561615 | done : False
episode : 187 | score_avg : -267.3121161894083 | loss : 0.0032277810387313366 | done : False
episode : 188 | score_avg : -281.63090457046746 | loss : 0.024537742137908936 | done : False
episode : 189 | score_avg : -301.56781411342075 | loss : 0.01352371834218502 | done : False
episode : 190 | score_avg : -315.7610327020787 | loss : -0.005741596221923828 | done : False
episode : 191 | score_avg : -312.48492943187085 | loss : 0.02609976753592491 | done : False
episode : 192 | score_avg : -315.78643648868376 | loss : 0.6629789471626282 | done : False
episode : 193 | score_avg : -311.6077928398154 | loss : 0.028996355831623077 | done : False
episode : 194 | score_avg : -306.14701355583384 | loss : 0.043325282633304596 | done : False
episode : 195 | score_avg : -300.5823122002505 | loss : -0.010597801767289639 | done : False
episode : 196 | score_avg : -295.57408098022546 | loss : -0.010456354357302189 | done : False
episode : 197 | score_avg : -292.9666728822029 | loss : -0.03413606062531471 | done : False
episode : 198 | score_avg : -290.62000559398257 | loss : -0.0045377230271697044 | done : False
episode : 199 | score_avg : -292.8580050345843 | loss : -0.03539330139756203 | done : False
episode : 200 | score_avg : -289.0222045311259 | loss : 0.011633247137069702 | done : False
episode : 201 | score_avg : -287.3199840780133 | loss : -0.03636139631271362 | done : False
episode : 202 | score_avg : -286.887985670212 | loss : -0.002542071742936969 | done : False
episode : 203 | score_avg : -284.0991871031908 | loss : -0.008642097935080528 | done : False
episode : 204 | score_avg : -282.0892683928717 | loss : -0.017533745616674423 | done : False
episode : 205 | score_avg : -280.33034155358456 | loss : -0.020511502400040627 | done : False
episode : 206 | score_avg : -277.8473073982261 | loss : -0.020293207839131355 | done : False
episode : 207 | score_avg : -275.4125766584035 | loss : 0.0036158275324851274 | done : False
episode : 208 | score_avg : -273.22131899256317 | loss : -0.0073356167413294315 | done : False
episode : 209 | score_avg : -270.9491870933069 | loss : -0.01295784767717123 | done : False
episode : 210 | score_avg : -269.3042683839762 | loss : -0.011736552231013775 | done : False
episode : 211 | score_avg : -276.3238415455786 | loss : 0.06642946600914001 | done : False
episode : 212 | score_avg : -277.54145739102074 | loss : -0.008329332806169987 | done : False
episode : 213 | score_avg : -280.43731165191866 | loss : -0.00685968017205596 | done : False
episode : 214 | score_avg : -277.4435804867268 | loss : -0.01996011845767498 | done : False
episode : 215 | score_avg : -276.9492224380541 | loss : -0.0002928136964328587 | done : False
episode : 216 | score_avg : -282.3543001942487 | loss : 0.04258433356881142 | done : False
episode : 217 | score_avg : -284.56887017482387 | loss : 0.04626200720667839 | done : False
episode : 218 | score_avg : -282.7619831573415 | loss : 0.014957865700125694 | done : False
episode : 219 | score_avg : -280.33578484160734 | loss : -0.0036909212358295918 | done : False
episode : 220 | score_avg : -282.9522063574466 | loss : 0.018022028729319572 | done : False
episode : 221 | score_avg : -279.7069857217019 | loss : -0.01944413222372532 | done : False
episode : 222 | score_avg : -279.58628714953176 | loss : 0.0035339801106601954 | done : False
episode : 223 | score_avg : -277.1776584345786 | loss : -0.017125461250543594 | done : False
episode : 224 | score_avg : -279.7098925911207 | loss : 0.04306184872984886 | done : False
episode : 225 | score_avg : -277.18890333200864 | loss : -0.013952938839793205 | done : False
episode : 226 | score_avg : -276.6700129988078 | loss : -0.006468186620622873 | done : False
episode : 227 | score_avg : -277.203011698927 | loss : -0.0026053525507450104 | done : False
episode : 228 | score_avg : -275.83271052903433 | loss : -0.01617678441107273 | done : False
episode : 229 | score_avg : -273.2994394761309 | loss : -0.015999777242541313 | done : False
episode : 230 | score_avg : -274.8194955285178 | loss : -0.0005063653807155788 | done : False
episode : 231 | score_avg : -272.937545975666 | loss : 0.10636764764785767 | done : False
episode : 232 | score_avg : -270.7937913780994 | loss : 0.010113978758454323 | done : False
episode : 233 | score_avg : -271.31441224028947 | loss : 0.017200317233800888 | done : False
episode : 234 | score_avg : -280.03297101626055 | loss : 0.039310965687036514 | done : False
episode : 235 | score_avg : -277.2796739146345 | loss : -0.012245537713170052 | done : False
episode : 236 | score_avg : -278.85170652317106 | loss : 0.03940058499574661 | done : False
episode : 237 | score_avg : -280.56653587085395 | loss : -0.012443207204341888 | done : False
episode : 238 | score_avg : -277.7098822837686 | loss : 0.029025079682469368 | done : False
episode : 239 | score_avg : -274.9888940553917 | loss : -0.031280361115932465 | done : False
episode : 240 | score_avg : -272.54000464985256 | loss : -0.04132121056318283 | done : False
episode : 241 | score_avg : -270.3360041848673 | loss : -0.03228805214166641 | done : False
episode : 242 | score_avg : -270.3524037663806 | loss : -0.020424142479896545 | done : False
episode : 243 | score_avg : -268.36716338974253 | loss : -0.03682807832956314 | done : False
episode : 244 | score_avg : -266.58044705076827 | loss : -0.039228860288858414 | done : False
episode : 245 | score_avg : -264.9724023456914 | loss : -0.038451485335826874 | done : False
episode : 246 | score_avg : -263.6251621111223 | loss : -0.04033584147691727 | done : False
episode : 247 | score_avg : -262.31264590001007 | loss : -0.01960017904639244 | done : False
episode : 248 | score_avg : -265.1813813100091 | loss : -0.0031204624101519585 | done : False
episode : 249 | score_avg : -269.7132431790082 | loss : 0.043987199664115906 | done : False
episode : 250 | score_avg : -267.7919188611074 | loss : -0.0414157435297966 | done : False
episode : 251 | score_avg : -268.5627269749966 | loss : -0.01727285422384739 | done : False
episode : 252 | score_avg : -267.056454277497 | loss : -0.029338333755731583 | done : False
episode : 253 | score_avg : -265.4008088497473 | loss : -0.03693157806992531 | done : False
episode : 254 | score_avg : -263.9107279647726 | loss : -0.02846265770494938 | done : False
episode : 255 | score_avg : -262.56965516829536 | loss : -0.024791553616523743 | done : False
episode : 256 | score_avg : -261.4126896514658 | loss : -0.025834880769252777 | done : False
episode : 257 | score_avg : -263.67142068631927 | loss : -0.008793674409389496 | done : False
episode : 258 | score_avg : -264.8042786176874 | loss : 0.028371207416057587 | done : False
episode : 259 | score_avg : -265.42385075591864 | loss : -0.017602402716875076 | done : False
episode : 260 | score_avg : -278.93146568032677 | loss : 0.0293247289955616 | done : False
episode : 261 | score_avg : -276.0883191122941 | loss : -0.0036278872285038233 | done : False
episode : 262 | score_avg : -273.5294872010647 | loss : -0.028411991894245148 | done : False
episode : 263 | score_avg : -272.12653848095823 | loss : -0.027812253683805466 | done : False
episode : 264 | score_avg : -271.7138846328624 | loss : 0.023771466687321663 | done : False
episode : 265 | score_avg : -272.8924961695762 | loss : -0.014943119138479233 | done : False
episode : 266 | score_avg : -270.65324655261855 | loss : 0.00031773129012435675 | done : False
episode : 267 | score_avg : -268.9379218973567 | loss : -0.04209226369857788 | done : False
episode : 268 | score_avg : -268.09412970762105 | loss : 0.018120961263775826 | done : False
