episode : 139 | score_avg : 120.34320323730736 | loss : -0.028669515624642372 | sigma : 14.256023406982422 | done : False
episode : 140 | score_avg : 106.85888291357662 | loss : 15.00753116607666 | sigma : 15.456419944763184 | done : True
episode : 141 | score_avg : 94.87299462221897 | loss : 5350.634765625 | sigma : 15.544334411621094 | done : True
episode : 142 | score_avg : 99.23569515999708 | loss : 84.47177124023438 | sigma : 16.244281768798828 | done : False
episode : 143 | score_avg : 109.41212564399737 | loss : -0.047104112803936005 | sigma : 17.96849250793457 | done : False
episode : 144 | score_avg : 99.07091307959763 | loss : 7.4122161865234375 | sigma : 18.90576934814453 | done : True
episode : 145 | score_avg : 88.91382177163787 | loss : 13.844786643981934 | sigma : 19.162311553955078 | done : True
episode : 146 | score_avg : 95.02243959447408 | loss : 56.73625946044922 | sigma : 19.32977867126465 | done : False
episode : 147 | score_avg : 85.22019563502667 | loss : 716.9055786132812 | sigma : 20.499486923217773 | done : True
episode : 148 | score_avg : 92.248176071524 | loss : 18.606056213378906 | sigma : 20.57631492614746 | done : False
episode : 149 | score_avg : 81.9233584643716 | loss : 112.03369140625 | sigma : 21.022464752197266 | done : True
episode : 150 | score_avg : 89.23102261793444 | loss : 67.48985290527344 | sigma : 21.59780502319336 | done : False
episode : 151 | score_avg : 79.307920356141 | loss : 265.840087890625 | sigma : 22.692237854003906 | done : True
episode : 152 | score_avg : 85.2771283205269 | loss : 305.249267578125 | sigma : 23.0639705657959 | done : False
episode : 153 | score_avg : 90.84941548847422 | loss : 0.5519725680351257 | sigma : 25.42329216003418 | done : False
episode : 154 | score_avg : 80.5144739396268 | loss : 3607.743408203125 | sigma : 26.557083129882812 | done : True
episode : 155 | score_avg : 71.31302654566412 | loss : 3.8186111450195312 | sigma : 26.574840545654297 | done : True
episode : 156 | score_avg : 63.5817238910977 | loss : 471.40997314453125 | sigma : 26.597700119018555 | done : True
episode : 157 | score_avg : 55.77355150198793 | loss : 22.01538848876953 | sigma : 26.613378524780273 | done : True
episode : 158 | score_avg : 49.04619635178914 | loss : 3373.021240234375 | sigma : 26.614015579223633 | done : True
episode : 159 | score_avg : 43.44157671661023 | loss : 631.6278076171875 | sigma : 26.602384567260742 | done : True
episode : 160 | score_avg : 37.69741904494921 | loss : 58.87574768066406 | sigma : 26.591384887695312 | done : True
episode : 161 | score_avg : 32.12767714045429 | loss : 1586.486328125 | sigma : 26.593647003173828 | done : True
episode : 162 | score_avg : 31.56490942640886 | loss : 98.68510437011719 | sigma : 26.59214210510254 | done : True
episode : 163 | score_avg : 26.658418483767974 | loss : 526.0164794921875 | sigma : 26.579513549804688 | done : True
episode : 164 | score_avg : 22.742576635391178 | loss : 1460.8572998046875 | sigma : 26.575632095336914 | done : True
episode : 165 | score_avg : 19.16831897185206 | loss : 159.97586059570312 | sigma : 26.576339721679688 | done : True
episode : 166 | score_avg : 22.251487074666855 | loss : 233.31884765625 | sigma : 26.571443557739258 | done : True
episode : 167 | score_avg : 20.376338367200173 | loss : 145.71592712402344 | sigma : 26.568727493286133 | done : True
episode : 168 | score_avg : 16.638704530480158 | loss : 308.80078125 | sigma : 26.570693969726562 | done : True
episode : 169 | score_avg : 18.524834077432143 | loss : 142.88058471679688 | sigma : 26.652265548706055 | done : True
episode : 170 | score_avg : 15.422350669688928 | loss : 2843.668701171875 | sigma : 26.978357315063477 | done : True
episode : 171 | score_avg : 24.180115602720036 | loss : 146.62501525878906 | sigma : 27.9335994720459 | done : True
episode : 172 | score_avg : 36.162104042448036 | loss : 13.339102745056152 | sigma : 28.86395263671875 | done : False
episode : 173 | score_avg : 41.39589363820323 | loss : 451.3329162597656 | sigma : 30.141450881958008 | done : False
episode : 174 | score_avg : 36.356304274382914 | loss : 16.818954467773438 | sigma : 30.973316192626953 | done : True
episode : 175 | score_avg : 30.37067384694462 | loss : 5889.994140625 | sigma : 31.022756576538086 | done : True
episode : 176 | score_avg : 32.23360646225016 | loss : 124.03728485107422 | sigma : 31.523887634277344 | done : True
episode : 177 | score_avg : 31.010245816025144 | loss : 130.42840576171875 | sigma : 32.38332748413086 | done : True
episode : 178 | score_avg : 30.90922123442263 | loss : 217.0352325439453 | sigma : 32.4002685546875 | done : True
episode : 179 | score_avg : 38.66829911098037 | loss : 225.24156188964844 | sigma : 33.06312561035156 | done : False
episode : 180 | score_avg : 38.35146919988233 | loss : 839.892333984375 | sigma : 34.57993698120117 | done : True
episode : 181 | score_avg : 33.166322279894096 | loss : 2115.100830078125 | sigma : 35.284767150878906 | done : True
episode : 182 | score_avg : 36.649690051904685 | loss : 136.5469512939453 | sigma : 36.439083099365234 | done : True
episode : 183 | score_avg : 31.43472104671422 | loss : 3311.15234375 | sigma : 37.904693603515625 | done : True
episode : 184 | score_avg : 36.7412489420428 | loss : 799.7571411132812 | sigma : 39.512027740478516 | done : False
episode : 185 | score_avg : 31.367124047838526 | loss : 3579.951416015625 | sigma : 42.026241302490234 | done : True
episode : 186 | score_avg : 27.13041164305467 | loss : 8705.37890625 | sigma : 42.14506912231445 | done : True
episode : 187 | score_avg : 23.317370478749204 | loss : 5796.310546875 | sigma : 42.15738296508789 | done : True
episode : 188 | score_avg : 19.985633430874284 | loss : 1907.140625 | sigma : 42.166114807128906 | done : True
episode : 189 | score_avg : 23.337070087786856 | loss : 166.5752716064453 | sigma : 43.25505447387695 | done : True
episode : 190 | score_avg : 19.80336307900817 | loss : 535.1257934570312 | sigma : 45.39598083496094 | done : True
episode : 191 | score_avg : 22.823026771107354 | loss : 247.93502807617188 | sigma : 46.03535842895508 | done : True
episode : 192 | score_avg : 20.09072409399662 | loss : 148.7738800048828 | sigma : 47.830787658691406 | done : True
episode : 193 | score_avg : 17.981651684596958 | loss : 594.1796264648438 | sigma : 47.85029602050781 | done : True
episode : 194 | score_avg : 15.683486516137261 | loss : 299.1134948730469 | sigma : 47.863677978515625 | done : True
episode : 195 | score_avg : 13.115137864523536 | loss : 15358.953125 | sigma : 47.886451721191406 | done : True
episode : 196 | score_avg : 11.553624078071183 | loss : 204.27699279785156 | sigma : 47.93720245361328 | done : True
episode : 197 | score_avg : 8.698261670264063 | loss : 1773.61865234375 | sigma : 47.96226119995117 | done : True
episode : 198 | score_avg : 10.078435503237657 | loss : 452.9718933105469 | sigma : 48.873897552490234 | done : True
episode : 199 | score_avg : 9.070591952913892 | loss : 770.8329467773438 | sigma : 49.92140197753906 | done : True
episode : 200 | score_avg : 7.213532757622503 | loss : 1109.9427490234375 | sigma : 50.0 | done : True
episode : 201 | score_avg : 9.192179481860254 | loss : 267.5187072753906 | sigma : 50.0 | done : True
episode : 202 | score_avg : 10.92296153367423 | loss : 186.29725646972656 | sigma : 50.0 | done : True
episode : 203 | score_avg : 9.780665380306806 | loss : 704.8773193359375 | sigma : 50.0 | done : True
episode : 204 | score_avg : 8.302598842276126 | loss : 1049.2783203125 | sigma : 50.0 | done : True
episode : 205 | score_avg : 8.672338958048513 | loss : 699.863037109375 | sigma : 50.0 | done : True
episode : 206 | score_avg : 7.705105062243662 | loss : 710.7405395507812 | sigma : 50.0 | done : True
episode : 207 | score_avg : 5.534594556019296 | loss : 2944.28857421875 | sigma : 50.0 | done : True
episode : 208 | score_avg : 3.9311351004173662 | loss : 367.9788513183594 | sigma : 50.0 | done : True
episode : 209 | score_avg : 3.88802159037563 | loss : 393.80615234375 | sigma : 50.0 | done : True
episode : 210 | score_avg : 5.849219431338067 | loss : 157.62005615234375 | sigma : 50.0 | done : True
episode : 211 | score_avg : 3.514297488204261 | loss : 2380.849365234375 | sigma : 50.0 | done : True
episode : 212 | score_avg : 2.1128677393838347 | loss : 1018.5941772460938 | sigma : 50.0 | done : True
episode : 213 | score_avg : 4.351580965445452 | loss : 264.6213073730469 | sigma : 50.0 | done : True
episode : 214 | score_avg : 2.6664228689009066 | loss : 1166.96337890625 | sigma : 50.0 | done : True
episode : 215 | score_avg : 1.1497805820108162 | loss : 167.4840545654297 | sigma : 50.0 | done : True
episode : 216 | score_avg : -0.5651974761902654 | loss : 665.0494384765625 | sigma : 50.0 | done : True
episode : 217 | score_avg : -1.358677728571239 | loss : 370.6454772949219 | sigma : 50.0 | done : True
episode : 218 | score_avg : -2.5228099557141155 | loss : 596.3223266601562 | sigma : 50.0 | done : True
episode : 219 | score_avg : -3.620528960142704 | loss : 479.425048828125 | sigma : 50.0 | done : True
episode : 220 | score_avg : -4.658476064128434 | loss : 609.1604614257812 | sigma : 50.0 | done : True
episode : 221 | score_avg : -4.392628457715591 | loss : 407.9544677734375 | sigma : 50.0 | done : True
episode : 222 | score_avg : -5.053365611944033 | loss : 6328.02783203125 | sigma : 50.0 | done : True
episode : 223 | score_avg : -5.64802905074963 | loss : 5795.94921875 | sigma : 50.0 | done : True
episode : 224 | score_avg : -6.683226145674666 | loss : 1042.165283203125 | sigma : 50.0 | done : True
